mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_50923,O=CNC(C#N)C1CN1,1.8173,1.52088,0.92023,3.0708,70.62,-0.2648,-0.0057,0.2591,1236.8507,0.124394,-434.065403,-434.05639,-434.055446,-434.100304,31.36
gdb_48921,O=CC12CC3C1C1C2N31,3.92253,1.53198,1.36036,2.1411,72.47,-0.2421,-0.032,0.2101,936.6826,0.125083,-400.664466,-400.657887,-400.656943,-400.695622,26.118
gdb_102993,CCC1(C#N)C(C)C1O,1.94643,1.38441,1.11688,4.7389,80.38,-0.2707,0.0331,0.3038,1232.3646,0.168908,-403.154964,-403.144624,-403.143679,-403.190107,37.299
gdb_97211,CN=C1C2(CC2)OCO1,2.50575,1.58209,1.07425,1.2769,75.73,-0.244,0.0223,0.2662,1145.4537,0.147201,-439.07944,-439.070823,-439.069879,-439.113207,31.337
gdb_108886,CNC1=NC(CN1)C#N,3.27413,1.07031,0.85982,6.1562,75.56,-0.2308,0.0271,0.2579,1327.7062,0.138158,-414.215175,-414.20631,-414.205366,-414.249456,31.538
gdb_111427,OCC1C2OC2C1CO,1.96332,1.53677,0.99431,1.5724,70.89,-0.2507,0.0686,0.3193,1212.2535,0.15796,-460.102505,-460.093237,-460.092293,-460.136882,33.793
gdb_23849,c1cc(=O)onc1F,5.73175,1.60945,1.2566,4.4018,52.05,-0.279,-0.1008,0.1782,828.8818,0.059651,-458.559961,-458.554006,-458.553062,-458.590317,21.887
gdb_94485,CC1COC1=NCC=O,3.90848,0.76625,0.68513,4.8793,76.68,-0.2416,-0.0175,0.2241,1634.4746,0.145226,-439.08951,-439.079949,-439.079005,-439.125897,32.74
gdb_92409,OC1CC2OCC12C#C,2.40935,1.51913,1.31205,0.9835,74.8,-0.2489,0.0272,0.2761,1043.6553,0.134874,-421.750139,-421.741927,-421.740983,-421.783044,31.693
gdb_21174,CNc1cc(no1)N,7.13025,1.27509,1.09415,3.7942,66.13,-0.1985,0.0352,0.2337,1052.0977,0.119952,-395.972837,-395.964966,-395.964022,-396.004973,28.795
gdb_49821,N=C1NC(C=O)C11CO1,2.70823,1.3864,1.01532,2.6684,69.6,-0.2544,-0.0442,0.2102,1127.1093,0.110928,-453.908274,-453.899987,-453.899043,-453.94173,29.954
gdb_34022,C#CC12CC1OCCC2,3.05653,1.32559,1.14118,1.1392,81.89,-0.2388,0.0503,0.2891,1133.897,0.159692,-385.847922,-385.839761,-385.838816,-385.880319,32.413
gdb_46279,O=C1OCC11NC2CC12,3.1853,1.49391,1.24419,5.0493,67.98,-0.2344,-0.0022,0.2323,1010.4037,0.125106,-437.849465,-437.842203,-437.841259,-437.881416,27.921
gdb_69964,CC12CCN1C1CC21O,2.48693,1.85721,1.3801,2.4227,78.03,-0.209,0.0711,0.2801,1008.9233,0.170497,-403.078379,-403.07017,-403.069226,-403.110327,33.325
gdb_34611,C#CC1=CCC2OCC12,3.27123,1.36713,1.06183,1.2575,83.08,-0.232,-0.0223,0.2097,1121.1942,0.136446,-384.654689,-384.647052,-384.646107,-384.686905,29.62
gdb_76716,CC1C(CCC=O)N1C,3.14951,0.75006,0.71159,2.4962,84.14,-0.2202,-0.0225,0.1977,1683.3037,0.191227,-404.325758,-404.315072,-404.314127,-404.362676,37.555
gdb_113619,OCC1OC1C#CC=O,3.73345,0.66723,0.59991,1.8743,75.7,-0.2765,-0.0757,0.2007,1759.9559,0.109598,-457.703052,-457.693583,-457.692639,-457.739289,31.756
gdb_72229,CC12CC3OCC1(O)C23,2.56559,1.90607,1.33815,1.2086,74.48,-0.2344,0.0661,0.3005,992.9169,0.15941,-422.995772,-422.987892,-422.986948,-423.027484,31.758
gdb_42217,O=C(C#C)C1C2CN1C2,3.5131,1.23586,1.05561,1.8573,76.72,-0.2422,-0.0676,0.1746,1138.7109,0.123601,-400.632046,-400.624175,-400.623231,-400.66537,29.379
gdb_87713,CC1CC2(CN2C)C1O,2.98242,1.13574,1.05829,1.9357,83.68,-0.222,0.0641,0.286,1289.6773,0.192529,-404.303534,-404.29378,-404.292836,-404.33781,36.964
gdb_37896,C1CC23OC4C2OC1C34,3.08508,2.15682,1.71092,1.7183,69.82,-0.2335,0.0623,0.2959,826.5536,0.138512,-421.743417,-421.737547,-421.736602,-421.773292,25.512
gdb_89817,CC1=CC2(CO2)CC1O,2.97603,1.23634,0.9928,1.7465,79.46,-0.2445,0.0042,0.2487,1234.177,0.158251,-423.022529,-423.013679,-423.012735,-423.056689,33.434
gdb_18548,O=C1CC2OC=NC12,4.35093,2.05671,1.62142,3.169,58.08,-0.2459,-0.0395,0.2064,754.6103,0.096523,-398.612556,-398.606506,-398.605562,-398.643053,22.737
gdb_5105,Cc1coc(=O)n1C,3.41846,2.12956,1.33412,5.045,63.06,-0.2075,0.0298,0.2373,885.2419,0.118837,-399.861763,-399.853993,-399.853049,-399.893854,27.735
gdb_48132,O=CC(=O)C1OCC=C1,3.21147,1.26434,1.03088,1.8339,67.98,-0.2349,-0.0994,0.1355,1133.9681,0.110698,-457.771012,-457.762726,-457.761782,-457.805064,28.898
gdb_71726,CC12CC3C4C1C2(C)N34,2.50797,2.05634,1.49926,1.7488,81.33,-0.2161,0.0809,0.297,968.4491,0.171701,-365.970674,-365.962962,-365.962018,-366.002189,31.431
gdb_118390,CCCC(CC#N)C=O,3.02259,0.79114,0.66151,5.1555,80.75,-0.2639,-0.0392,0.2247,1701.7695,0.16815,-403.180302,-403.169642,-403.168698,-403.217573,36.404
gdb_5414,c1cnc(nc1)CO,5.18958,1.63332,1.25193,3.8485,65.51,-0.2551,-0.0505,0.2046,909.4625,0.109483,-378.772082,-378.765391,-378.764447,-378.80338,24.492
gdb_14885,C#CC1=CCOCC1,5.01882,1.41334,1.14492,0.764,76.19,-0.2304,-0.0183,0.2121,1013.5106,0.130827,-346.580037,-346.572675,-346.57173,-346.611539,28.037
gdb_47304,C1CC(=O)CNCC1=O,2.82199,1.31358,0.98943,1.1424,72.25,-0.2204,-0.0306,0.1898,1176.9784,0.148449,-439.115331,-439.106881,-439.105937,-439.149475,31.347
gdb_85267,CN1CC(=O)C2(CO2)C1,2.53888,1.55597,1.18773,3.1497,71.87,-0.2157,-0.038,0.1777,1081.9619,0.146996,-439.066202,-439.057843,-439.056899,-439.099392,31.313
gdb_27911,c1c(cc(nc1O)O)N,2.00483,1.80046,0.94917,1.5794,72.95,-0.2125,0.0133,0.2258,1152.0452,0.115012,-454.034137,-454.026535,-454.025591,-454.065804,30.502
gdb_2941,OCC1OCC=C1,5.93808,2.00867,1.64001,2.7074,58.53,-0.2359,0.0086,0.2445,753.5015,0.125771,-345.649146,-345.64248,-345.641536,-345.680008,24.325
gdb_57189,CC(C([O-])=O)C(C)(C)[NH3+],2.27305,1.27165,1.14148,6.1774,77.82,-0.2427,0.0338,0.2765,1231.2107,0.192843,-441.534381,-441.524086,-441.523142,-441.568911,39.144
gdb_113699,CC(C)(O)C1CC1CO,2.23247,1.30705,1.0573,3.0985,81.67,-0.2441,0.0595,0.3035,1275.9414,0.204421,-425.413387,-425.40326,-425.402316,-425.447719,39.435
gdb_84351,CC1C=CC(C#N)C1O,3.2663,1.272,1.02159,3.6904,77.74,-0.2647,-0.0016,0.2631,1174.3452,0.147683,-401.973837,-401.965144,-401.9642,-402.007105,32.726
gdb_35191,C#CC1OC11CC2CC12,3.73016,1.14103,1.06998,1.8704,79.4,-0.2477,0.0216,0.2693,1170.6215,0.134414,-384.600208,-384.592288,-384.591344,-384.632667,30.994
gdb_7579,CC(C)C1(COC1)C,3.04565,1.49996,1.41362,1.9407,77.01,-0.2421,0.066,0.3082,1047.7314,0.198859,-350.192933,-350.183602,-350.182658,-350.226636,34.769
gdb_83773,CC1C2OCC3CC2C13,2.75643,1.77893,1.59075,1.3916,80.95,-0.234,0.0803,0.3143,971.2142,0.185454,-387.061185,-387.053874,-387.05293,-387.092659,30.166
gdb_65984,CC1(COC1=N)C1CN1,2.27549,1.53106,1.38533,2.7135,75.57,-0.2418,0.019,0.2608,1061.1021,0.15989,-419.179453,-419.17079,-419.169845,-419.212746,32.479
gdb_126721,CCn1cc(c(n1)N)N,3.24825,1.10383,0.89025,1.8171,81.29,-0.1773,0.0412,0.2185,1349.0782,0.160824,-415.405835,-415.396184,-415.39524,-415.440975,35.08
gdb_130042,c1c2c(n[nH]1)CN=C2N,3.41627,1.60664,1.10126,4.0888,73.84,-0.2184,-0.0043,0.2141,1023.6575,0.117353,-413.01887,-413.012055,-413.01111,-413.049804,27.212
gdb_61186,CC(CC#N)C(C)C#N,2.50916,1.02066,0.76611,4.794,80.19,-0.3237,0.015,0.3387,1460.9287,0.157913,-382.112889,-382.102734,-382.10179,-382.148485,35.965
gdb_52396,C1C(CO1)OCCC=O,7.0394,0.54991,0.5306,1.1413,73.82,-0.2544,-0.031,0.2233,1999.6588,0.156628,-460.131243,-460.121494,-460.12055,-460.168359,32.685
gdb_52215,O=COCC1OC1C#N,3.72842,0.82553,0.787,3.7008,64.1,-0.29,-0.0253,0.2648,1409.4946,0.098856,-473.819555,-473.810824,-473.80988,-473.854831,29.332
gdb_41911,C1CC2CCC3C1C3C2,2.08804,2.03163,1.74591,0.065,86.58,-0.2513,0.0716,0.3229,985.5678,0.212051,-351.179281,-351.172191,-351.171247,-351.210396,30.381
gdb_105300,CCC1(OC1C=O)C=O,2.55042,1.23043,0.9857,1.9151,71.85,-0.2685,-0.0704,0.198,1222.571,0.131847,-458.959041,-458.949515,-458.948571,-458.993925,33.18
gdb_76254,CC1C(N)C(=O)N1C=O,2.52179,1.37835,0.96823,4.9316,71.75,-0.2417,-0.0395,0.2022,1200.0389,0.135126,-455.180106,-455.170753,-455.169809,-455.214616,32.919
gdb_536,CCCOC=O,15.46437,1.39898,1.37994,4.1439,51.52,-0.2771,0.0095,0.2866,860.792,0.118294,-307.596472,-307.589259,-307.588314,-307.62831,23.614
gdb_108133,OCC12OC3CC1NC23,3.04531,1.54581,1.399,2.3789,70.42,-0.236,0.0623,0.2983,986.1565,0.149768,-439.023367,-439.01619,-439.015245,-439.055144,28.83
gdb_73987,CC1=C2CC3C(OC1)C23,2.68639,1.9674,1.3815,0.8617,81.82,-0.2193,-0.0095,0.2097,975.9754,0.160272,-385.815377,-385.808021,-385.807076,-385.846738,29.987
gdb_95939,CC1(OCCC1O)C=O,2.1868,1.46635,1.36643,1.1136,71.2,-0.2393,-0.0304,0.2089,1079.417,0.157322,-460.176917,-460.167608,-460.166664,-460.211202,34.229
gdb_48103,O=CC(=O)C1CC1C#N,2.85375,1.12997,1.01004,4.0931,68.52,-0.267,-0.1105,0.1565,1183.0913,0.099215,-436.701652,-436.693125,-436.692181,-436.735882,29.581
gdb_65213,OC1(CC1)C1CC2OC12,3.14415,1.35848,1.13868,1.6951,74.16,-0.2469,0.0745,0.3215,1111.0499,0.158325,-422.96263,-422.954417,-422.953473,-422.995471,32.291
gdb_111488,OCC1N2CC2CC1=O,2.38393,1.76412,1.27248,1.7617,70.56,-0.2314,-0.0348,0.1966,1022.7615,0.148347,-439.078015,-439.07002,-439.069076,-439.110711,30.753
gdb_44006,O=C1CC23CC2(CO3)O1,3.64791,1.48252,1.41152,2.4269,63.8,-0.2526,-0.0046,0.2479,931.4439,0.113015,-457.737264,-457.730604,-457.72966,-457.768283,26.606
gdb_96478,CC1CCOCC=C1C,2.33713,1.42955,0.97953,1.5492,87.7,-0.2292,0.0158,0.245,1290.9474,0.206519,-388.297138,-388.287949,-388.287004,-388.330707,35.949
gdb_74368,CC1=CC(OCC1)C#N,2.76015,1.23602,0.919,5.1993,79.52,-0.2606,-0.0013,0.2594,1273.5757,0.147922,-401.969841,-401.961299,-401.960355,-402.00323,31.766
gdb_25955,CC(=N)OC1=NC=CO1,4.84865,1.04317,1.00428,2.1736,67.87,-0.2372,0.0077,0.245,1209.0688,0.112593,-453.977903,-453.969838,-453.968894,-454.011681,28.647
gdb_66088,CC1(COC1C=O)C=O,2.61001,1.23213,1.19021,3.4575,69.58,-0.2523,-0.0441,0.2082,1127.2793,0.132233,-458.952425,-458.943105,-458.942161,-458.987518,32.223
gdb_129584,c1nc(on1)C2(CC2)N,3.71087,1.33691,1.07098,1.3261,71.06,-0.2613,-0.0233,0.2379,1097.0834,0.125954,-434.052073,-434.044373,-434.043428,-434.084666,28.955
gdb_105933,OCC12C3C1N1CC2C31,3.3496,1.55838,1.36359,2.2223,73.83,-0.218,0.0554,0.2734,980.6145,0.148882,-401.840965,-401.833752,-401.832807,-401.872848,28.632
gdb_112367,CCC1OC(=N)CC1=O,2.193,1.44698,0.92015,1.7775,74.23,-0.2588,-0.0419,0.2169,1265.9025,0.146589,-439.13204,-439.123137,-439.122193,-439.166678,32.296
gdb_56584,CC(C(N)C#N)C1CC1,2.33211,1.08283,0.99175,4.4442,82.36,-0.2552,0.0249,0.2802,1348.7737,0.182062,-383.266576,-383.256458,-383.255513,-383.301775,37.152
gdb_77821,CC1C2C(=O)OCC12C,2.37973,1.52046,1.31381,4.665,75.43,-0.2579,0.0122,0.2701,1082.9234,0.159411,-423.070826,-423.062299,-423.061355,-423.103624,32.42
gdb_67891,OC12C=CCC3CC1C23,2.67238,1.903,1.39868,1.2511,79.36,-0.2227,0.0208,0.2435,970.3629,0.161066,-385.869142,-385.861942,-385.860998,-385.900114,30.334
gdb_33934,C#CC12CC1CC1NC21,3.20457,1.41079,1.24325,1.5568,82.28,-0.2296,0.0499,0.2794,1060.8361,0.148833,-364.749169,-364.741674,-364.74073,-364.780739,30.803
gdb_51398,N=COC1C2NC1C2=O,4.24987,1.09333,0.99994,2.6134,67.89,-0.2528,-0.0083,0.2445,1162.5234,0.112949,-453.87473,-453.867176,-453.866232,-453.907469,27.893
gdb_25487,N=COC1=CN=CC=N1,5.52754,1.01579,0.8581,2.8961,75.72,-0.2561,-0.0603,0.1958,1256.6885,0.102909,-432.91215,-432.904806,-432.903862,-432.945093,26.238
gdb_125941,CC1CC2=NON=C2N1,3.83793,1.37046,1.15252,5.5731,70.61,-0.2342,-0.0283,0.206,1054.9381,0.126195,-434.028473,-434.021269,-434.020324,-434.06021,28.056
gdb_116046,CCC1OCC=CC=C1,3.08779,1.21316,0.91833,0.9175,88.23,-0.2169,-0.0267,0.1902,1320.6503,0.183024,-387.097494,-387.088651,-387.087707,-387.131292,33.774
gdb_4167,CCC(=NO)C1CN1,2.96242,1.54009,1.17212,1.726,71.3,-0.2318,-0.0001,0.2316,1067.8567,0.153374,-381.056749,-381.047984,-381.04704,-381.090466,31.662
gdb_20778,CC1=NON=CC1=N,3.3537,2.33405,1.38794,2.1533,65.49,-0.2637,-0.076,0.1877,827.5826,0.095193,-394.717141,-394.710341,-394.709397,-394.748157,25.215
gdb_71844,CC12CC3C=CC1CN23,2.82663,1.93383,1.65999,1.3393,82.3,-0.2122,0.0102,0.2223,923.8598,0.173355,-365.969687,-365.962687,-365.961743,-366.000372,30.026
gdb_44344,N=C1OC2C3CC(=C1)C23,3.90093,1.60143,1.30378,3.4267,78.13,-0.2414,-0.0492,0.1922,954.8218,0.125875,-400.670543,-400.664003,-400.663059,-400.701329,26.849
gdb_100839,COC(C)C(C)NC=O,2.73539,0.96763,0.80026,4.0538,80.54,-0.2487,0.0307,0.2793,1505.0527,0.191363,-441.508311,-441.497122,-441.496177,-441.545551,39.186
gdb_50070,O=CC1NC1C(=O)C=O,3.10471,0.97856,0.90578,2.8591,65.44,-0.2563,-0.114,0.1423,1280.7292,0.098086,-473.808967,-473.800197,-473.799252,-473.844138,29.776
gdb_15546,CC1C=CCN1C=O,3.28675,1.84558,1.27756,4.0551,71.03,-0.2362,0.0055,0.2418,952.2258,0.142844,-363.901392,-363.89371,-363.892766,-363.933608,28.204
gdb_105625,CCC1(CCC1C)C#N,1.93992,1.33612,1.19108,4.0687,86.29,-0.2951,0.0331,0.3282,1252.3236,0.193828,-367.232655,-367.222811,-367.221867,-367.266951,36.908
gdb_5865,CC(C)(C)CCC#C,3.98117,0.95626,0.93999,0.8851,84.44,-0.2564,0.058,0.3144,1369.7083,0.196802,-313.051121,-313.040851,-313.039907,-313.085993,38.23
gdb_70779,CC12OC3(C#N)C1NC23,3.7832,1.37988,1.15208,3.6074,71.29,-0.2617,-0.0164,0.2454,1041.371,0.111676,-416.707101,-416.699571,-416.698627,-416.738999,28.775
gdb_11788,CCC12CC(C1)CC2,3.84923,1.59606,1.47649,0.1028,81.24,-0.2828,0.0838,0.3666,991.3202,0.202725,-313.073197,-313.065597,-313.064653,-313.10479,30.752
gdb_20141,C1OC1C1CC2NC12,5.20218,1.39485,1.25579,2.3162,68.24,-0.2306,0.0791,0.3098,983.4248,0.143178,-363.785943,-363.778969,-363.778024,-363.817512,26.609
gdb_109270,CCC1=CCC=CCC1,3.00802,1.09885,0.87928,0.3074,93.53,-0.2253,0.0263,0.2516,1419.7771,0.206937,-351.173108,-351.163751,-351.162807,-351.207823,35.545
gdb_110691,CCN1C2C=CC(=O)C12,2.90421,1.31318,1.20115,3.0813,77.83,-0.2321,-0.0664,0.1658,1120.0818,0.147739,-401.942296,-401.934176,-401.933232,-401.975328,30.801
gdb_4986,c1cnc(c(n1)N)O,3.38729,2.47093,1.42997,1.4474,64.98,-0.2097,-0.0259,0.1839,798.7865,0.098427,-394.846901,-394.840471,-394.839527,-394.877136,25.242
gdb_81088,OC1C2NC1(C=O)C2=O,2.00646,1.83557,1.17899,2.022,65.14,-0.2609,-0.0502,0.2107,1021.8102,0.099666,-473.761787,-473.754,-473.753056,-473.794517,28.571
gdb_117539,CCCC(C#N)C(C)O,2.16786,0.99461,0.71688,4.7684,83.28,-0.2827,0.0412,0.3239,1629.6063,0.191813,-404.373319,-404.362173,-404.361229,-404.410085,39.535
gdb_8408,CC1(C2(N1)COC2)C,3.59484,1.60171,1.39259,2.1521,71.67,-0.2387,0.0596,0.2983,975.3848,0.164326,-365.020132,-365.011725,-365.010781,-365.052646,31.373
gdb_28741,NC1=CN=C(OC=N)O1,6.70188,0.87759,0.77926,1.9194,68.51,-0.2305,-0.0076,0.2229,1378.4057,0.101441,-470.024644,-470.016406,-470.015462,-470.058594,28.836
gdb_83143,CN1C2CNC(=O)C12C,2.03285,1.84903,1.47139,3.566,76.09,-0.2309,0.022,0.253,1021.8829,0.159721,-419.226955,-419.218189,-419.217245,-419.259926,33.087
gdb_48094,N=C(C=O)N1CC(=O)C1,3.33971,1.12332,0.85206,1.2932,70.41,-0.2485,-0.0705,0.178,1256.0774,0.110831,-453.947022,-453.938501,-453.937556,-453.981225,29.863
gdb_122305,CCOCC12CC1OC2,3.85497,0.82585,0.75515,2.668,80.17,-0.2287,0.0804,0.3091,1590.6585,0.180961,-424.171253,-424.161812,-424.160868,-424.206577,34.238
